#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
DATGTE010000028.1:113454-115262|+ -            603 182107at2            -            492  5.3e-224  741.3  10.2   1   1  2.2e-225    8e-223  737.4  10.2     1   492     8   600     8   600 0.90 DATGTE010000028.1_112 # 113454 # 115262 # 1 # ID=28_112;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.400
DATGTE010000020.1:61572-62882|-   -            437 182107at2            -            492   1.2e-09   34.3   0.9   2   2   2.4e-07   8.9e-05   18.3   0.2    62   154   245   346   175   368 0.67 DATGTE010000020.1_70 # 61572 # 62882 # -1 # ID=20_70;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
DATGTE010000023.1:85595-86938|-   -            448 182107at2            -            492     0.021   10.4   5.8   1   2     0.015       5.5    2.4   0.2    48   111   185   252   173   262 0.66 DATGTE010000023.1_83 # 85595 # 86938 # -1 # ID=23_83;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.435
DATGTE010000023.1:85595-86938|-   -            448 182107at2            -            492     0.021   10.4   5.8   2   2   8.8e-05     0.033    9.8   1.3   422   479   377   434   328   439 0.80 DATGTE010000023.1_83 # 85595 # 86938 # -1 # ID=23_83;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.435
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_1_genome.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_1_genome.fasta/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_1_genome.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026
# Date:            Mon Jul 20 11:17:19 2026
# [ok]
