#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JASKZX010000152.1:3738-3986|- -             83 874197at2            -            274   1.8e-22   75.9   0.1   1   1   1.3e-24     2e-22   75.8   0.1   218   274     2    64     1    64 0.91 JASKZX010000152.1_6 # 3738 # 3986 # -1 # ID=118_6;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.454
JASKZX010000061.1:1696-3096|- -            467 874197at2            -            274   6.8e-05   18.3   0.3   2   2      0.23        34   -0.4   0.0    81    99   266   284   242   305 0.82 JASKZX010000061.1_4 # 1696 # 3096 # -1 # ID=108_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.394
JASKZX010000112.1:3436-5370|+ -            645 874197at2            -            274   0.00048   15.5   0.1   1   2   0.00038     0.056    8.7   0.0    25    62    19    56    15    71 0.87 JASKZX010000112.1_5 # 3436 # 5370 # 1 # ID=22_5;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
JASKZX010000112.1:3436-5370|+ -            645 874197at2            -            274   0.00048   15.5   0.1   2   2      0.01       1.5    4.0   0.0    31    55   351   375   342   380 0.80 JASKZX010000112.1_5 # 3436 # 5370 # 1 # ID=22_5;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/874197at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_genome.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_genome.fasta/run_bacteria_odb10/hmmer_output/874197at2.out --cpu 1 /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/874197at2.hmm /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_genome.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026
# Date:            Mon Jul 20 11:18:09 2026
# [ok]
