# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1398618at2	Complete	DATGTE010000017.1	40205	40741	+	143.5	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	DATGTE010000020.1	61558	60521	-	284.6	263	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	DATGTE010000017.1	38994	39533	+	224.9	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	DATGTE010000017.1	18288	18788	+	106.5	110	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	DATGTE010000028.1	122588	123343	+	63.8	88	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	DATGTE010000017.1	43647	44291	+	139.0	130	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	DATGTE010000023.1	84389	83874	-	34.1	67	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	DATGTE010000023.1	114240	113626	-	262.9	188	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	DATGTE010000023.1	51479	50517	-	188.3	223	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	DATGTE010000017.1	41157	41660	+	220.6	149	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	DATGTE010000017.1	28891	29361	+	198.3	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	DATGTE010000017.1	42323	43615	+	328.6	299	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	DATGTE010000017.1	34157	34780	+	138.3	104	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Duplicated	DATGTE010000020.1	141408	141022	-	138.5	138	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1574817at2	Duplicated	DATGTE010000028.1	208420	208797	+	133.7	136	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	DATGTE010000010.1	87024	87740	+	64.4	90	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	DATGTE010000027.1	31974	30736	-	474.2	379	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	DATGTE010000023.1	57524	57054	-	43.4	43	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	DATGTE010000023.1	68669	67914	-	270.0	188	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	DATGTE010000010.1	49574	48978	-	166.5	151	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	DATGTE010000017.1	36292	36633	+	117.3	86	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	DATGTE010000017.1	17384	18091	+	224.5	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	DATGTE010000023.1	65970	65413	-	157.7	135	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	DATGTE010000010.1	28165	27605	-	142.8	104	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	DATGTE010000017.1	39777	40175	+	195.3	131	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	DATGTE010000023.1	82930	82583	-	126.9	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	DATGTE010000049.1	55450	56301	+	172.5	144	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	DATGTE010000017.1	16691	17116	+	135.8	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	DATGTE010000017.1	28437	28847	+	175.4	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	DATGTE010000017.1	45611	46006	+	158.2	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	DATGTE010000007.1	945	478	-	204.4	142	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	DATGTE010000028.1	145745	146497	+	52.5	104	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	DATGTE010000003.1	81906	82409	+	100.4	95	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Missing
1772647at2	Complete	DATGTE010000017.1	45220	45588	+	143.4	99	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	DATGTE010000010.1	95859	96149	+	56.0	71	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	DATGTE010000017.1	37298	37732	+	159.0	108	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	DATGTE010000017.1	38252	38620	+	131.5	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Missing
1822695at2	Complete	DATGTE010000017.1	18836	19201	+	98.3	88	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	DATGTE010000035.1	1689	2153	+	83.4	71	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	DATGTE010000023.1	173531	172968	-	87.5	89	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	DATGTE010000028.1	143382	143843	+	82.0	73	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	DATGTE010000017.1	47302	47655	+	99.2	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	DATGTE010000020.1	38386	37385	-	44.5	84	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	DATGTE010000023.1	131567	130626	-	171.5	166	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	DATGTE010000023.1	172971	172492	-	133.0	107	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	DATGTE010000017.1	41889	42323	+	77.2	74	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	DATGTE010000023.1	93258	92575	-	66.9	102	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	DATGTE010000017.1	35987	36271	+	137.6	72	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	DATGTE010000028.1	39712	40002	+	113.9	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	DATGTE010000028.1	117740	118330	+	64.3	70	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	DATGTE010000003.1	82666	83022	+	122.0	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	DATGTE010000023.1	85514	85248	-	115.0	70	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	DATGTE010000049.1	53267	53812	+	126.4	159	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	DATGTE010000010.1	96708	96938	+	94.3	48	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	DATGTE010000028.1	39051	39359	+	132.6	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	DATGTE010000010.1	100929	101375	+	78.7	80	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	DATGTE010000017.1	40772	41134	+	146.2	103	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	DATGTE010000023.1	52866	52525	-	135.9	107	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	DATGTE010000017.1	34780	35067	+	110.4	92	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	DATGTE010000023.1	50390	50121	-	110.4	70	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	DATGTE010000028.1	103351	103710	+	92.4	81	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	DATGTE010000028.1	110240	109974	-	63.9	64	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	DATGTE010000017.1	33161	33469	+	143.3	88	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	DATGTE010000017.1	37944	38207	+	86.7	57	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	DATGTE010000017.1	38656	38967	+	60.7	54	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	DATGTE010000003.1	82447	82638	+	23.7	33	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	DATGTE010000017.1	37722	37922	+	54.2	36	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	DATGTE010000017.1	44770	44988	+	95.2	57	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	DATGTE010000028.1	84414	84833	+	50.0	64	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
