# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1257362at2	Fragmented	NODE_3633_length_1179_cov_4.604982	1177	338	-	187.9	182	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Fragmented	NODE_126_length_10469_cov_5.612541	10016	10453	+	152.1	143	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_70_length_15890_cov_6.438207	12652	11996	-	171.2	146	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NODE_221_length_7664_cov_5.871862	3650	2724	-	120.6	151	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NODE_159_length_9209_cov_5.840725	3321	2134	-	302.8	289	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Fragmented	NODE_900_length_3061_cov_5.483367	3061	2264	-	59.7	88	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NODE_70_length_15890_cov_6.438207	5919	5383	-	139.7	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Fragmented	NODE_1587_length_2105_cov_7.082927	2103	1609	-	144.0	117	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_70_length_15890_cov_6.438207	7110	6571	-	233.6	143	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NODE_147_length_9578_cov_6.494172	7009	7524	+	104.4	108	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NODE_948_length_2952_cov_3.701760	1719	2246	+	35.9	54	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NODE_70_length_15890_cov_6.438207	2483	1836	-	138.9	130	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NODE_176_length_8603_cov_4.300070	738	247	-	23.8	38	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NODE_159_length_9209_cov_5.840725	4195	3572	-	250.6	188	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NODE_659_length_3802_cov_4.742728	592	1533	+	178.0	222	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NODE_70_length_15890_cov_6.438207	4973	4470	-	221.3	149	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NODE_757_length_3433_cov_5.927176	1859	2329	+	197.7	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NODE_70_length_15890_cov_6.438207	3809	2514	-	315.8	297	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NODE_70_length_15890_cov_6.438207	11975	11589	-	123.4	83	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_320_length_6008_cov_4.461616	2047	1673	-	103.7	137	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_483_length_4546_cov_6.702961	4063	4545	+	66.0	92	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Missing
1595498at2	Complete	NODE_413_length_5050_cov_5.960961	1193	726	-	30.0	51	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Missing
1661836at2	Complete	NODE_1849_length_1908_cov_6.004317	1072	1668	+	162.8	140	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NODE_70_length_15890_cov_6.438207	9851	9480	-	110.9	86	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NODE_147_length_9578_cov_6.494172	6079	6780	+	221.1	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NODE_864_length_3131_cov_6.078674	1701	1144	-	150.6	138	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Missing
1692188at2	Fragmented	NODE_70_length_15890_cov_6.438207	6339	6076	-	109.6	86	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NODE_494_length_4483_cov_4.913279	683	1036	+	133.7	90	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NODE_354_length_5631_cov_5.686693	853	1725	+	158.1	146	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NODE_147_length_9578_cov_6.494172	5587	6012	+	132.1	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Duplicated	NODE_3544_length_1204_cov_3.213229	498	911	+	169.6	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1707228at2	Duplicated	NODE_757_length_3433_cov_5.927176	1398	1811	+	166.3	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NODE_70_length_15890_cov_6.438207	950	555	-	153.3	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Missing
1758685at2	Complete	NODE_420_length_4973_cov_4.865189	3997	4713	+	25.4	50	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NODE_339_length_5787_cov_5.692254	2210	1662	-	92.3	86	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Duplicated	NODE_3667_length_1173_cov_5.204830	606	998	+	112.7	99	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1766414at2	Duplicated	NODE_4344_length_1037_cov_3.334012	437	45	-	114.7	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NODE_70_length_15890_cov_6.438207	1343	978	-	147.0	100	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NODE_205_length_7890_cov_6.882833	4217	4525	+	53.6	71	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NODE_70_length_15890_cov_6.438207	8795	8361	-	159.5	104	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NODE_70_length_15890_cov_6.438207	7846	7478	-	134.1	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Duplicated	NODE_3667_length_1173_cov_5.204830	149	586	+	158.1	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822215at2	Duplicated	NODE_4344_length_1037_cov_3.334012	894	457	-	154.5	111	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NODE_147_length_9578_cov_6.494172	7567	7932	+	92.7	89	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NODE_2360_length_1608_cov_5.174501	94	543	+	67.5	70	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NODE_1234_length_2501_cov_5.612020	1223	1771	+	85.8	84	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_420_length_4973_cov_4.865189	1827	2288	+	78.6	72	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_1671_length_2045_cov_5.942714	680	1057	+	94.6	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NODE_692_length_3696_cov_4.087339	342	1100	+	38.8	80	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NODE_650_length_3843_cov_4.637804	1859	942	-	171.2	185	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NODE_1234_length_2501_cov_5.612020	1764	2249	+	125.8	108	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_70_length_15890_cov_6.438207	4246	3809	-	73.4	87	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NODE_176_length_8603_cov_4.300070	8496	7909	-	60.8	80	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_70_length_15890_cov_6.438207	10154	9879	-	141.1	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NODE_727_length_3546_cov_4.843025	1660	1944	+	114.6	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NODE_784_length_3344_cov_2.910307	2929	2357	-	61.8	78	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_339_length_5787_cov_5.692254	1412	1056	-	118.3	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Fragmented	NODE_176_length_8603_cov_4.300070	1287	1123	-	77.1	44	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NODE_225_length_7611_cov_5.316040	6396	6935	+	91.6	156	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	NODE_205_length_7890_cov_6.882833	7602	7889	+	92.7	48	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NODE_727_length_3546_cov_4.843025	1028	1336	+	136.1	100	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NODE_394_length_5288_cov_6.805656	3461	3015	-	72.4	92	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_70_length_15890_cov_6.438207	5358	4996	-	150.8	103	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Fragmented	NODE_743_length_3481_cov_5.460595	138	1	-	30.0	40	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NODE_70_length_15890_cov_6.438207	11352	11080	-	107.4	85	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NODE_659_length_3802_cov_4.742728	1630	1899	+	108.8	69	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NODE_1800_length_1938_cov_4.263941	985	1320	+	87.9	79	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_3085_length_1324_cov_3.102443	689	931	+	53.5	59	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_70_length_15890_cov_6.438207	12987	12679	-	141.1	88	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_70_length_15890_cov_6.438207	8142	7879	-	80.9	57	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NODE_70_length_15890_cov_6.438207	7445	7140	-	59.1	49	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NODE_339_length_5787_cov_5.692254	1636	1433	-	32.5	34	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NODE_70_length_15890_cov_6.438207	8371	8162	-	54.1	36	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_70_length_15890_cov_6.438207	1726	1508	-	92.4	53	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NODE_955_length_2944_cov_5.852544	722	300	-	48.5	71	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
