#                                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3823_length_1138_cov_3.122807:83-718|+    -            212 874197at2            -            274   3.9e-68  226.4   0.3   1   1   2.9e-70     5e-68  226.0   0.3   107   274     1   193     1   193 0.91 NODE_3823_length_1138_cov_3.122807_1 # 83 # 718 # 1 # ID=572_1;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.480
NODE_863_length_3132_cov_5.745206:401-2857|+   -            819 874197at2            -            274   3.9e-05   19.7   1.6   2   2   0.00055     0.095    8.6   0.0    34    59   542   567   512   587 0.77 NODE_863_length_3132_cov_5.745206_2 # 401 # 2857 # 1 # ID=91_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.438
NODE_3787_length_1145_cov_2.677064:1-279|-     -             93 874197at2            -            274    0.0002   17.4   0.0   1   1   1.4e-06   0.00025   17.1   0.0    12    62    21    80    10    92 0.67 NODE_3787_length_1145_cov_2.677064_1 # 1 # 279 # -1 # ID=569_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_3317_length_1258_cov_2.156276:1091-1258|+ -             56 874197at2            -            274    0.0022   14.0   0.0   1   1   1.3e-05    0.0022   14.0   0.0    25    61    19    55     9    56 0.90 NODE_3317_length_1258_cov_2.156276_3 # 1091 # 1258 # 1 # ID=516_3;partial=01;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_393_length_5289_cov_3.433321:4874-5287|+  -            138 874197at2            -            274    0.0023   13.9   0.8   1   1   0.00044     0.076    8.9   0.8    36    99    53   137    34   138 0.53 NODE_393_length_5289_cov_3.433321_7 # 4874 # 5287 # 1 # ID=9_7;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_985_length_2891_cov_3.863188:1938-2864|+  -            309 874197at2            -            274    0.0036   13.3   0.0   1   1   3.7e-05    0.0064   12.5   0.0    36    64    33    61    25    81 0.89 NODE_985_length_2891_cov_3.863188_3 # 1938 # 2864 # 1 # ID=119_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.435
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/874197at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_mag.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_mag.fasta/run_bacteria_odb10/hmmer_output/874197at2.out --cpu 1 /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/874197at2.hmm /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_mag.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026
# Date:            Mon Jul 20 11:18:20 2026
# [ok]
